Library,Compound,161,217,235,238,242,243,244
ChemBridge Microformat,6232745,--,--,--,0,--,--,--
ChemBridge Microformat,5841467,--,--,--,0,--,--,--
ChemBridge Microformat,6048612,--,--,--,0,--,--,--
ChemBridge Microformat,6241227,--,--,--,0,--,--,--
ChemBridge Microformat,6241219,--,--,--,0,--,--,--
ChemBridge Microformat,6241201,--,--,--,0,--,--,--
ChemBridge Microformat,6241195,--,--,--,0,--,--,--
ChemBridge Microformat,6241190,--,--,--,0,--,--,--
ChemBridge Microformat,6241189,--,--,--,0,--,--,--
ChemBridge Microformat,6241218,--,--,--,0,--,--,--
ChemBridge Microformat,6241217,--,--,--,0,--,--,--
ChemBridge Microformat,6241204,--,--,--,0,--,--,--
ChemBridge Microformat,6241203,--,--,--,0,--,--,--
ChemBridge Microformat,5844689,--,--,--,0,--,--,--
ChemBridge Microformat,5844723,--,--,--,0,--,--,--
ChemBridge Microformat,5844296,--,--,--,0,--,--,--
ChemBridge Microformat,5844337,--,--,--,0,--,--,--
ChemBridge Microformat,5845396,--,--,--,0,--,--,--
ChemBridge Microformat,5845468,--,--,--,0,--,--,--
ChemBridge Microformat,5844745,--,--,--,0,--,--,--
ChemBridge Microformat,5844952,--,--,--,0,--,--,--
ChemBridge Microformat,5770901,--,--,--,0,--,--,--
ChemBridge Microformat,5845533,--,--,--,0,--,--,--
ChemBridge Microformat,5845560,--,--,--,0,--,--,--
ChemBridge Microformat,6133647,--,--,--,0,--,--,--
ChemBridge Microformat,6048621,--,--,--,0,--,--,--
ChemBridge Microformat,6145401,--,--,--,0,--,--,--
ChemBridge Microformat,5712564,--,--,--,0,--,--,--
ChemBridge Microformat,6114935,--,--,--,0,--,--,--
ChemBridge Microformat,6145303,--,--,--,0,--,--,--
ChemBridge Microformat,5770909,--,--,--,0,--,--,--
ChemBridge Microformat,6145301,--,--,--,0,--,--,--
ChemBridge Microformat,5712322,--,--,--,0,--,--,--
ChemBridge Microformat,6168573,--,--,--,0,--,--,--
ChemBridge Microformat,6168670,--,--,--,0,--,--,--
ChemBridge Microformat,6154079,--,--,--,0,--,--,--
ChemBridge Microformat,6154086,--,--,--,0,--,--,--
ChemBridge Microformat,6154030,--,--,--,1,--,--,--
ChemBridge Microformat,6168413,--,--,--,0,--,--,--
ChemBridge Microformat,6168475,--,--,--,0,--,--,--
ChemBridge Microformat,6168516,--,--,--,0,--,--,--
ChemBridge Microformat,6153962,--,--,--,0,--,--,--
ChemBridge Microformat,6168258,--,--,--,0,--,--,--
ChemBridge Microformat,6153936,--,--,--,0,--,--,--
ChemBridge Microformat,6168300,--,--,--,0,--,--,--
ChemBridge Microformat,6151541,--,--,--,0,--,--,--
ChemBridge Microformat,6151494,--,--,--,0,--,--,--
ChemBridge Microformat,5712414,--,--,--,0,--,--,--
ChemBridge Microformat,5811364,--,--,--,0,--,--,--
ChemBridge Microformat,5811370,--,--,--,0,--,--,--
ChemBridge Microformat,5811097,--,--,--,0,--,--,--
ChemBridge Microformat,5811108,--,--,--,0,--,--,--
ChemBridge Microformat,6151334,--,--,--,0,--,--,--
ChemBridge Microformat,6151328,--,--,--,0,--,--,--
ChemBridge Microformat,5810830,--,--,--,0,--,--,--
ChemBridge Microformat,5810967,--,--,--,0,--,--,--
ChemBridge Microformat,5810382,--,--,--,0,--,--,--
ChemBridge Microformat,5711427,--,--,--,0,--,--,--
ChemBridge Microformat,6120926,--,--,--,0,--,--,--
ChemBridge Microformat,6120985,--,--,--,1,--,--,--
ChemBridge Microformat,6239714,--,--,--,0,--,--,--
ChemBridge Microformat,6239724,--,--,--,0,--,--,--
ChemBridge Microformat,6120658,--,--,--,0,--,--,--
ChemBridge Microformat,6114417,--,--,--,0,--,--,--
ChemBridge Microformat,6120496,--,--,--,0,--,--,--
ChemBridge Microformat,6120569,--,--,--,0,--,--,--
ChemBridge Microformat,6239694,--,--,--,0,--,--,--
ChemBridge Microformat,6239695,--,--,--,0,--,--,--
ChemBridge Microformat,6239688,--,--,--,0,--,--,--
ChemBridge Microformat,6239690,--,--,--,0,--,--,--
ChemBridge Microformat,6239706,--,--,--,0,--,--,--
ChemBridge Microformat,6239707,--,--,--,0,--,--,--
ChemBridge Microformat,6121109,--,--,--,0,--,--,--
ChemBridge Microformat,6239705,--,--,--,0,--,--,--
ChemBridge Microformat,5729415,--,--,--,0,--,--,--
ChemBridge Microformat,6055773,--,--,--,0,--,--,--
ChemBridge Microformat,5770576,--,--,--,0,--,--,--
ChemBridge Microformat,6061383,--,--,--,0,--,--,--
ChemBridge Microformat,6138733,--,--,--,0,--,--,--
ChemBridge Microformat,5729393,--,--,--,0,--,--,--
ChemBridge Microformat,6138738,--,--,--,0,--,--,--
ChemBridge Microformat,6222643,--,--,--,0,--,--,--
ChemBridge Microformat,6222638,--,--,--,0,--,--,--
ChemBridge Microformat,6222440,--,--,--,0,--,--,--
ChemBridge Microformat,6222437,--,--,--,0,--,--,--
ChemBridge Microformat,6222478,--,--,--,0,--,--,--
ChemBridge Microformat,6222465,--,--,--,0,--,--,--
ChemBridge Microformat,6222567,--,--,--,0,--,--,--
ChemBridge Microformat,6222490,--,--,--,0,--,--,--
ChemBridge Microformat,6222635,--,--,--,0,--,--,--
ChemBridge Microformat,6222617,--,--,--,0,--,--,--
ChemBridge Microformat,5729598,--,--,--,0,--,--,--
ChemBridge Microformat,6109019,--,--,--,0,--,--,--
ChemBridge Microformat,6109050,--,--,--,0,--,--,--
ChemBridge Microformat,6108460,--,--,--,0,--,--,--
ChemBridge Microformat,6108686,--,--,--,0,--,--,--
ChemBridge Microformat,6109229,--,--,--,0,--,--,--
ChemBridge Microformat,6109375,--,--,--,0,--,--,--
ChemBridge Microformat,6109082,--,--,--,0,--,--,--
ChemBridge Microformat,6109145,--,--,--,0,--,--,--
ChemBridge Microformat,5352202,--,--,--,0,--,--,--
ChemBridge Microformat,6109462,--,--,--,0,--,--,--
ChemBridge Microformat,6109632,--,--,--,0,--,--,--
ChemBridge Microformat,5729531,--,--,--,0,--,--,--
ChemBridge Microformat,5352151,--,--,--,0,--,--,--
ChemBridge Microformat,6138697,--,--,--,0,--,--,--
ChemBridge Microformat,5726135,--,--,--,0,--,--,--
ChemBridge Microformat,6138709,--,--,--,0,--,--,--
ChemBridge Microformat,6056410,--,--,--,0,--,--,--
ChemBridge Microformat,6056385,--,--,--,0,--,--,--
ChemBridge Microformat,6056283,--,--,--,0,--,--,--
ChemBridge Microformat,6056282,--,--,--,0,--,--,--
ChemBridge Microformat,6056264,--,--,--,0,--,--,--
ChemBridge Microformat,6056213,--,--,--,0,--,--,--
ChemBridge Microformat,6056170,--,--,--,0,--,--,--
ChemBridge Microformat,6056164,--,--,--,0,--,--,--
ChemBridge Microformat,6056464,--,--,--,0,--,--,--
ChemBridge Microformat,6056446,--,--,--,0,--,--,--
ChemBridge Microformat,5352704,--,--,--,0,--,--,--
ChemBridge Microformat,5968278,--,--,--,0,--,--,--
ChemBridge Microformat,5968303,--,--,--,0,--,--,--
ChemBridge Microformat,5968409,--,--,--,0,--,--,--
ChemBridge Microformat,5968430,--,--,--,0,--,--,--
ChemBridge Microformat,5968546,--,--,--,0,--,--,--
ChemBridge Microformat,5968590,--,--,--,0,--,--,--
ChemBridge Microformat,5968656,--,--,--,0,--,--,--
ChemBridge Microformat,5968739,--,--,--,0,--,--,--
ChemBridge Microformat,5968777,--,--,--,0,--,--,--
ChemBridge Microformat,5968793,--,--,--,0,--,--,--
ChemBridge Microformat,6038445,--,--,--,0,--,--,--
ChemBridge Microformat,6038237,--,--,--,0,--,--,--
ChemBridge Microformat,6038623,--,--,--,0,--,--,--
ChemBridge Microformat,6038493,--,--,--,0,--,--,--
ChemBridge Microformat,6038680,--,--,--,0,--,--,--
ChemBridge Microformat,5629711,--,--,--,0,--,--,--
ChemBridge Microformat,6038696,--,--,--,0,--,--,--
ChemBridge Microformat,6038690,--,--,--,0,--,--,--
ChemBridge Microformat,6038772,--,--,--,0,--,--,--
ChemBridge Microformat,6038727,--,--,--,0,--,--,--
ChemBridge Microformat,5352419,--,--,--,0,--,--,--
ChemBridge Microformat,6043734,--,--,--,0,--,--,--
ChemBridge Microformat,6160006,--,--,--,0,--,--,--
ChemBridge Microformat,5629428,--,--,--,0,--,--,--
ChemBridge Microformat,5352302,--,--,--,0,--,--,--
ChemBridge Microformat,6043744,--,--,--,0,--,--,--
ChemBridge Microformat,5807459,--,--,--,0,--,--,--
ChemBridge Microformat,6159968,--,--,--,0,--,--,--
ChemBridge Microformat,6158810,--,--,--,0,--,--,--
ChemBridge Microformat,6158697,--,--,--,0,--,--,--
ChemBridge Microformat,6158679,--,--,--,0,--,--,--
ChemBridge Microformat,6158609,--,--,--,0,--,--,--
ChemBridge Microformat,6158844,--,--,--,0,--,--,--
ChemBridge Microformat,6158835,--,--,--,0,--,--,--
ChemBridge Microformat,6158813,--,--,--,0,--,--,--
ChemBridge Microformat,6158811,--,--,--,0,--,--,--
ChemBridge Microformat,6158958,--,--,--,0,--,--,--
ChemBridge Microformat,6158917,--,--,--,0,--,--,--
ChemBridge Microformat,5807525,--,--,--,0,--,--,--
ChemBridge Microformat,6084616,--,--,--,0,--,--,--
ChemBridge Microformat,6084691,--,--,--,0,--,--,--
ChemBridge Microformat,6239201,--,--,--,0,--,--,--
ChemBridge Microformat,6239200,--,--,--,0,--,--,--
ChemBridge Microformat,6239197,--,--,--,0,--,--,--
ChemBridge Microformat,6239195,--,--,--,0,--,--,--
ChemBridge Microformat,6239193,--,--,--,0,--,--,--
ChemBridge Microformat,6239187,--,--,--,0,--,--,--
ChemBridge Microformat,6239186,--,--,--,0,--,--,--
ChemBridge Microformat,6239182,--,--,--,0,--,--,--
ChemBridge Microformat,6239181,--,--,--,0,--,--,--
ChemBridge Microformat,6239178,--,--,--,0,--,--,--
ChemBridge Microformat,5130559,--,--,--,0,--,--,--
ChemBridge Microformat,5130528,--,--,--,0,--,--,--
ChemBridge Microformat,5130490,--,--,--,0,--,--,--
ChemBridge Microformat,6238195,--,--,--,0,--,--,--
ChemBridge Microformat,6238191,--,--,--,0,--,--,--
ChemBridge Microformat,5130468,--,--,--,0,--,--,--
ChemBridge Microformat,6238171,--,--,--,0,--,--,--
ChemBridge Microformat,6238169,--,--,--,0,--,--,--
ChemBridge Microformat,6238173,--,--,--,0,--,--,--
ChemBridge Microformat,6238172,--,--,--,0,--,--,--
ChemBridge Microformat,6238181,--,--,--,0,--,--,--
ChemBridge Microformat,6238176,--,--,--,0,--,--,--
ChemBridge Microformat,6238188,--,--,--,0,--,--,--
ChemBridge Microformat,6238184,--,--,--,0,--,--,--
ChemBridge Microformat,6125973,--,--,--,0,--,--,--
ChemBridge Microformat,6126048,--,--,--,0,--,--,--
ChemBridge Microformat,5784580,--,--,--,0,--,--,--
ChemBridge Microformat,5784526,--,--,--,0,--,--,--
ChemBridge Microformat,6126152,--,--,--,2,--,--,--
ChemBridge Microformat,6126189,--,--,--,0,--,--,--
ChemBridge Microformat,6126274,--,--,--,0,--,--,--
ChemBridge Microformat,6126277,--,--,--,0,--,--,--
ChemBridge Microformat,6126279,--,--,--,0,--,--,--
