JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
05	06	26		T3	1			08/14/06			
05	06	27		T3	1			08/14/06			
06	05	1		T3	1			08/29/06			
06	05	2		T3	1			08/29/06			
06	05	3		T3	1			08/29/06			
06	05	4		T3	1			08/29/06			
06	05	5		T3	1			08/29/06			
06	05	6		T3	1			08/29/06			
06	05	7		T3	1			08/29/06			
06	05	8		T3	1			08/29/06			
06	05	9		T3	1			08/29/06			
06	05	10		T3	1			08/29/06			
06	05	11		T3	1			08/29/06			
06	05	12		T3	1			08/29/06			
06	05	13		T3	1			08/29/06			
06	05	14		T3	1			08/29/06			
06	05	15		T3	1			08/29/06			
06	05	16		T3	1			08/29/06			
06	05	17		T3	1			08/29/06			
06	05	18		T3	1			08/29/06			
06	05	19		T3	1			08/29/06			
06	05	20		T3	1			08/29/06			
06	05	21		T3	1			08/29/06			
06	05	22		T3	1			08/29/06			
06	05	23		T3	1			08/29/06			
06	05	24		T3	1			08/29/06			
06	05	25		T3	1			08/29/06			
06	05	26		T3	1			08/29/06			
06	05	27		T3	1			08/29/06			
06	05	28		T3	1			08/29/06			
06	05	29		T3	1			08/29/06			
06	05	30		T3	1			08/29/06			
06	05	31		T3	1			08/29/06			
06	05	32		T3	1			08/29/06			
06	05	33		T3	1			08/29/06			
06	05	34		T3	1			08/29/06			
06	06	01		T3	1	Homo		08/15/06		Aug 06	
06	06	02		T3	1	Homo		08/15/06		Aug 06	
06	06	03		T3	1	Homo		08/15/06		Aug 06	
06	06	04		T3	1	Hetero		08/15/06		Aug 06	
06	06	05		T3	1	Hetero		08/15/06		Aug 06	
06	06	06		T3	1	Homo		08/15/06		Aug 06	
06	06	07		T3	1	Hetero		08/15/06		Aug 06	
06	06	08		T3	1	Hetero		08/15/06		Aug 06	
06	06	09		T3	1	Hetero		08/15/06		Aug 06	
