Library	ID	Plate	Well	Raw Value	Score	Stdev
MS	ST002050	AT004-01	C09	4491.666667	0.842609902	242.2278542
MS	ST002089	AT004-01	C10	6996.333333	1.031867409	878.2142867
MS	ST002144	AT004-01	C11	4295.333333	0.847581931	298.035792
MS	L130125	AT004-01	D02	3522	0.742421248	177.9129
MS	L131113	AT004-01	D03	4976.333333	0.933530481	180.7797924
MS	L131830	AT004-01	D04	5428	0.800558811	825.8577359
MS	L132586	AT004-01	D05	4771.666667	0.941574992	428.2339703
MS	L132926	AT004-01	D06	7208	1.519412935	247.2104367
MS	ST001885	AT004-01	D07	5961.666667	1.118373143	126.8713259
MS	ST001961	AT004-01	D08	5770.333333	0.851048488	384.9173071
MS	ST002051	AT004-01	D09	5189.333333	1.023991581	341.2218242
MS	ST002091	AT004-01	D10	6670.666667	1.406145563	462.0436487
MS	ST002157	AT004-01	D11	5012.666667	0.940346398	241.3510583
MS	L130168	AT004-01	E02	6790.666667	1.001534273	703.1943781
MS	L131202	AT004-01	E03	5294.333333	1.044710835	242.3743661
MS	L132268	AT004-01	E04	4950.333333	1.043507283	162.5587073
MS	L132632	AT004-01	E05	5924	1.111307101	105.5035544
MS	L133051	AT004-01	E06	8132.666667	1.199461673	260.3504049
MS	ST001886	AT004-01	E07	3847.666667	0.759245556	530.5132735
MS	ST001983	AT004-01	E08	3849.666667	0.81149186	110.5637071
MS	ST002052	AT004-01	E09	3946.666667	0.74037115	286.2819123
MS	ST002099	AT004-01	E10	6819	1.005713068	52.3736575
MS	ST002158	AT004-01	E11	6169.333333	1.217371286	565.9684915
MS	L130303	AT004-01	F02	5024.666667	1.059176405	95.52137632
MS	L131229	AT004-01	F03	5239.666667	0.982930245	85.11364951
MS	L132357	AT004-01	F04	5040.666667	0.743432225	851.6374424
MS	L132691	AT004-01	F05	4965.666667	0.979856281	424.6838039
MS	L133086	AT004-01	F06	4258.333333	0.897636896	140.4006173
MS	ST001902	AT004-01	F07	4386.666667	0.822912528	87.36322644
MS	ST001984	AT004-01	F08	7909	1.166473773	505.7479609
MS	ST002054	AT004-01	F09	5636.666667	1.112262181	243.1056012
MS	ST002101	AT004-01	F10	5286.666667	1.114404789	19.3993127
MS	ST002177	AT004-01	F11	5711	1.07134957	259.7518046
MS	L130737	AT004-01	G02	6426.666667	0.947849047	517.5020129
MS	L131326	AT004-01	G03	5988	1.181589463	769.1319783
MS	L132381	AT004-01	G04	4307	0.907895604	226.8016755
MS	L132713	AT004-01	G05	5530.333333	1.03745758	153.728115
MS	L133124	AT004-01	G06	7283.333333	1.074196145	360.1004489
MS	ST001914	AT004-01	G07	4679.333333	0.923355204	199.9308214
